XH001,123456,男,文景胜,2020/1/1,13733871170,BJBH001,100
XH002,123456,男,程子民,2020/1/2,13733871171,BJBH001,100
XH003,123456,男,黎康乐,2020/1/3,13733871172,BJBH001,100
XH004,123456,女,宁妙竹,2020/1/4,13733871173,BJBH001,100
XH005,123456,女,利凡梅,2020/1/5,13733871174,BJBH001,100
XH006,123456,女,蒙小星,2020/1/6,13733871175,BJBH001,100
XH007,123456,女,邹天玉,2020/1/7,13733871176,BJBH002,100
XH008,123456,女,瞿苒苒,2020/1/8,13733871177,BJBH002,100
XH009,123456,女,朱新梅,2020/1/9,13733871178,BJBH002,100
XH010,123456,男,戈星华,2020/1/10,13733871179,BJBH002,100
XH011,123456,男,吴丰羽,2020/1/11,13733871180,BJBH002,100
XH012,123456,男,贾泰宁,2020/1/12,13733871181,BJBH002,100
XH013,123456,男,卢成济,2020/1/13,13733871182,BJBH003,100
XH014,123456,男,简子实,2020/1/14,13733871183,BJBH003,100
XH015,123456,男,弘英杰,2020/1/15,13733871184,BJBH003,100
XH016,123456,男,黄和泰,2020/1/16,13733871185,BJBH003,100
XH017,123456,女,向元瑶,2020/1/17,13733871186,BJBH003,100
XH018,123456,女,刘如雪,2020/1/18,13733871187,BJBH003,100
XH019,123456,女,相芸英,2020/1/19,13733871188,BJBH003,100
XH020,123456,女,甘正清,2020/1/20,13733871189,BJBH003,100
XH021,123456,女,蔡姗姗,2020/1/21,13733871190,BJBH004,100
XH022,123456,女,毛雨彤,2020/1/22,13733871191,BJBH004,100
XH023,123456,女,董秀秀,2020/1/23,13733871192,BJBH004,100
XH024,123456,女,丁水琼,2020/1/24,13733871193,BJBH004,100
XH025,123456,男,董飞翔,2020/1/25,13733871194,BJBH004,100
XH026,123456,男,张开朗,2020/1/26,13733871195,BJBH004,100
XH027,123456,男,万阳炎,2020/1/27,13733871196,BJBH004,100
XH028,123456,男,罗伟兆,2020/1/28,13733871197,BJBH004,100
XH029,123456,男,田元忠,2020/1/29,13733871198,BJBH005,100
XH030,123456,男,白宏放,2020/1/30,13733871199,BJBH005,100
XH031,123456,男,吴鸿波,2020/1/31,13733871200,BJBH005,100
XH032,123456,女,段玉珂,2020/2/1,13733871201,BJBH005,100
XH033,123456,女,石燕平,2020/2/2,13733871202,BJBH005,100
XH034,123456,女,叶沛文,2020/2/3,13733871203,BJBH005,100
